ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
7493647,9.279,7394,2.109,32,3086.659,1213.860,3092.842,1209.780
7493647,9.279,7394,2.109,33,3032.346,1127.449,3024.067,1123.196
7586485,8.520,5801,1.113,31,1507.583,1620.237,1695.567,1643.779
7586485,8.520,5801,1.113,32,1368.439,1442.465,1424.280,1437.322
7586966,8.008,4730,11.252,31,524.257,340.618,495.185,338.785
7586966,8.008,4730,11.252,32,526.662,337.026,502.127,335.614
7623047,8.089,10020,2.086,31,391.874,75.309,370.918,70.731
7623047,8.089,10020,2.086,32,390.236,75.106,380.261,71.499
7625199,11.353,4012,0.565,31,2051.443,356.681,1927.246,347.265
7625199,11.353,4012,0.565,32,2157.412,454.229,2077.653,395.691
7647775,11.020,3362,0.497,31,5364.347,3176.584,5146.250,3127.989
7647775,11.020,3362,0.497,32,3550.655,2249.812,3283.442,2253.224
7649668,8.071,4572,12.297,31,552.574,335.657,516.293,325.877
7649668,8.071,4572,12.297,32,495.994,272.118,482.984,271.525
7722646,8.005,5228,3.060,31,396.821,91.729,368.015,84.998
7722646,8.005,5228,3.060,32,385.644,97.875,385.246,94.806
7723060,11.221,3199,0.220,31,2569.810,1399.771,2495.583,1398.857
7723060,11.221,3199,0.220,32,2605.645,1374.766,2610.160,1379.029
7780491,8.042,8006,2.402,31,1151.201,1210.041,1157.476,1220.336
7843830,12.458,3334,0.396,34,6540.021,3006.043,6639.318,3158.596
7890779,8.036,3962,50.005,34,442.573,97.426,608.334,188.688
7975441,14.381,0,0.000,34,35312.414,12304.501,36286.853,12244.672
7985934,8.055,4508,9.148,35,520.458,311.737,558.000,316.141
8112435,8.279,4920,9.977,27,661.407,422.279,680.739,427.665
8194633,8.020,4809,3.319,27,442.920,121.586,466.560,121.543
9006668,9.927,5029,0.766,29,1035.688,231.173,1194.198,245.019
9056576,9.168,4822,12.988,29,782.927,324.433,853.436,327.141
9058053,8.089,4570,16.545,29,591.725,356.667,578.177,334.663
9097661,8.062,6585,1.822,29,427.474,86.497,453.214,114.977
9149953,8.305,6394,2.898,32,455.954,96.602,547.097,192.951
9150015,4.905,6221,1.225,32,443.003,461.883,391.264,427.255
9166565,8.081,5006,10.164,29,621.117,331.778,597.960,335.096
9176012,9.951,9079,1.758,32,1867.203,324.453,1898.249,380.562
9179390,8.094,4758,9.871,29,592.383,336.234,570.590,323.755
9210746,8.728,3406,0.555,29,1706.015,1162.522,1672.570,1115.759
9266461,15.759,0,0.000,32,59943.262,10324.123,484885.454,85877.493
9268360,14.145,50000,0.147,32,19353.362,3729.747,19259.611,3585.532
9295107,8.038,5104,9.560,32,454.486,195.534,432.141,191.551
9354932,13.000,0,0.000,32,11522.699,2588.476,11438.345,2672.707
9358354,14.286,31000,0.180,32,19299.284,3999.489,19681.897,4824.060
9380488,8.258,7572,1.654,32,447.007,107.585,475.105,113.961
9708387,8.106,5841,1.397,29,809.819,747.032,773.088,638.717
9709881,9.736,5372,5.357,29,879.568,218.759,993.717,220.275
9761274,11.074,7526,1.210,29,3491.893,1281.467,3518.932,1275.719
9786384,8.465,4865,15.708,29,565.712,272.909,627.112,316.830
9791889,8.127,7017,1.826,29,661.100,494.089,662.069,491.222
9803255,9.899,7795,1.764,29,1587.510,367.303,1645.115,386.496
9805120,11.327,7358,1.602,31,6395.577,6260.809,6485.789,6267.417
9887662,4.575,7572,1.995,31,108.222,37.561,100.238,31.176
9899585,8.042,4939,10.537,31,524.794,352.882,535.264,363.180
9899967,5.765,0,0.000,31,4721.111,1090.895,3867.111,1621.246
9945024,13.443,3156,0.335,31,13222.500,6368.986,13036.455,6181.879
