ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
12013892,8.095,4479,20.383,35,501.237,259.494,570.311,272.756
12359032,11.588,5471,0.901,29,2831.857,1284.311,2758.440,1016.190
12378718,14.079,40975,0.131,29,15132.651,2687.308,14714.521,2687.373
12393800,10.740,5571,1.313,29,6002.575,6307.239,6210.662,6443.350
12395214,14.126,37500,0.127,29,16255.006,3312.222,16527.105,2910.016
12395634,8.064,6275,2.197,29,450.659,87.046,430.377,84.862
12421477,11.701,3461,0.582,29,7420.917,6615.134,7407.365,6584.750
12421862,9.928,3782,0.447,29,1015.416,226.679,1128.291,238.301
12423805,12.722,38000,0.658,29,5822.655,1053.420,5822.266,1085.633
12433577,8.159,4780,8.143,29,581.997,352.954,569.030,346.506
12473170,8.748,6966,2.582,29,2099.845,806.936,2124.345,808.818
12474920,11.488,3509,0.454,29,2445.731,648.240,2503.593,673.260
12511303,10.528,7768,2.733,31,5263.307,888.885,5248.778,940.763
12532010,8.233,4981,10.502,31,586.287,380.030,708.026,374.088
12549312,13.451,37400,0.160,31,8667.875,1648.067,8523.364,1586.922
12723842,8.011,4005,43.150,28,512.832,316.045,519.820,171.846
12862728,8.863,0,0.000,29,1339.151,274.802,1455.702,280.759
12865353,8.016,4890,2.391,29,445.981,96.680,487.896,102.236
12878505,8.118,4908,10.849,29,556.265,337.436,595.612,336.260
12968953,10.094,7883,2.424,29,1086.849,188.232,1226.687,213.776
12969617,8.094,4712,10.054,29,584.046,404.396,617.802,402.381
12972937,8.338,6383,1.564,29,501.869,97.420,586.325,103.596
13021029,11.723,6245,1.433,32,2995.574,1475.485,2938.992,1442.363
13069774,11.931,34000,0.143,32,3569.060,671.983,3663.081,653.074
13072717,14.318,0,0.000,32,16028.024,2923.487,16246.442,2956.509
13072758,12.224,6313,1.431,32,3779.705,855.537,3828.859,854.880
13074467,8.396,4918,9.816,29,642.520,378.268,774.231,382.889
13133610,16.226,0,0.000,32,86444.616,15596.434,87234.549,15617.924
13203779,8.036,5129,9.597,32,430.531,180.870,404.838,172.700
13205578,8.143,4585,8.817,32,521.117,319.411,497.656,320.505
13273388,8.077,4509,12.976,32,545.760,392.813,521.841,390.245
13344668,12.673,4469,0.700,32,5237.713,931.677,5466.076,1294.398
13349647,12.212,5928,0.960,34,4440.740,2729.474,4384.260,2735.235
13390495,8.014,4813,10.625,34,553.774,379.072,571.687,377.451
13741812,8.051,4019,45.402,34,783.624,257.686,435.078,104.619
13818381,8.001,8233,1.872,34,394.925,74.833,408.154,72.018
13934072,8.132,4972,9.485,31,474.860,222.407,456.058,220.235
13934072,8.132,4972,9.485,32,459.293,205.131,427.951,200.872
13955147,8.738,5701,1.006,31,1007.877,656.936,964.903,657.940
13955147,8.738,5701,1.006,32,896.546,727.262,858.906,711.560
14001734,11.739,3304,0.439,32,12047.449,10611.691,12096.183,10684.132
14161523,8.339,4593,17.024,32,549.587,317.087,524.185,280.988
14164720,8.074,4828,10.450,31,635.325,489.054,620.824,481.613
14164720,8.074,4828,10.450,32,627.660,440.532,584.615,441.102
14164726,14.935,31000,0.180,32,25917.018,4815.695,26630.418,4954.393
14342679,8.316,4754,6.029,35,543.383,250.875,602.443,243.201
14344979,12.335,5425,0.916,35,4781.522,2066.463,4795.438,1982.586
14564874,8.014,4131,28.953,33,460.088,219.401,444.017,202.801
14609933,8.257,9036,1.942,33,438.622,81.011,425.349,76.177
14614418,13.390,5670,1.017,36,9081.656,4811.639,9057.496,4798.662
14661418,12.481,4724,0.793,36,4588.745,2154.805,4561.778,2145.814
14680532,12.805,31000,0.180,36,5647.805,1112.183,5558.427,1126.389
14715718,14.339,2841,0.140,36,19085.124,4546.163,19063.236,4702.656
14717912,14.307,41381,0.147,36,18664.220,3516.510,17602.205,3524.225
16325702,8.459,5718,1.130,34,486.835,91.883,575.789,109.646
16489072,8.155,4006,38.490,34,497.756,228.237,562.514,178.290
17676722,8.611,8321,1.842,34,2508.088,2685.867,2538.031,2693.078
17684976,8.011,9745,3.508,35,397.305,86.538,474.090,100.323
17746821,11.316,6322,1.730,34,2357.841,1048.853,2417.179,999.554
