#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,TESS,SPOC,Photometer,TESS,TESS,Optical,461161123,,tess2021065132309-s0036-0000000461161123-0207-a_fast,165.784100154351,-25.1768021274726,3,59280.4071195602,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,460175993,,tess2021065132309-s0036-0000000460175993-0207-a_fast,156.876044545176,-63.5232668950335,3,59280.4041903356,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,460150366,,tess2021065132309-s0036-0000000460150366-0207-a_fast,156.837920045326,-61.9335603783643,3,59280.4043361574,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,460071288,,tess2021065132309-s0036-0000000460071288-0207-a_fast,156.604228458685,-64.8537611632297,3,59280.4040653009,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,459441015,,tess2021065132309-s0036-0000000459441015-0207-a_fast,162.633310862459,-55.9830994944807,3,59280.4049120602,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,459295129,,tess2021065132309-s0036-0000000459295129-0207-a_fast,162.235263177239,-57.2642651178878,3,59280.4047965162,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,459031333,,tess2021065132309-s0036-0000000459031333-0207-a_fast,161.603898267197,-59.4452213442318,3,59280.4045970718,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,458567544,,tess2021065132309-s0036-0000000458567544-0207-a_fast,160.37704158965,-59.073778688836,3,59280.4046233912,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,458334796,,tess2021065132309-s0036-0000000458334796-0207-a_fast,159.816157090281,-53.8981786331969,3,59280.4050753241,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,458038392,,tess2021065132309-s0036-0000000458038392-0207-a_fast,159.103831182712,-55.3669639972061,3,59280.4049424769,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,457744438,,tess2021065132309-s0036-0000000457744438-0207-a_fast,158.21046660607,-57.5095471158788,3,59280.4047466551,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,457479295,,tess2021065132309-s0036-0000000457479295-0207-a_fast,157.493788455978,-59.5101925076182,3,59280.4045617361,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,454041906,,tess2021065132309-s0036-0000000454041906-0207-a_fast,175.757935533922,-39.5448909199218,3,59280.4062123727,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,454021446,,tess2021065132309-s0036-0000000454021446-0207-a_fast,175.691595374192,-37.3981943266075,3,59280.4063615509,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,454012528,,tess2021065132309-s0036-0000000454012528-0207-a_fast,175.339671224884,-36.4096002258248,3,59280.4064319329,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,454011861,,tess2021065132309-s0036-0000000454011861-0207-a_fast,175.261013156743,-36.5630077570735,3,59280.4064224884,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,453467231,,tess2021065132309-s0036-0000000453467231-0207-a_fast,170.144433036514,-8.57825416063177,3,59280.4077475926,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,453451193,,tess2021065132309-s0036-0000000453451193-0207-a_fast,169.548537320843,-6.79226732203758,3,59280.4077903935,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,453099619,,tess2021065132309-s0036-0000000453099619-0207-a_fast,116.086048784454,-69.5110112446619,3,59280.4029065741,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,452718256,,tess2021065132309-s0036-0000000452718256-0207-a_fast,172.51120579541,-25.3466671686237,3,59280.4070949653,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,452698339,,tess2021065132309-s0036-0000000452698339-0207-a_fast,172.026122219393,-26.2617378176618,3,59280.4070509491,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,448415401,,tess2021065132309-s0036-0000000448415401-0207-a_fast,165.796301007651,-35.8210352020065,3,59280.4065105324,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,447283466,,tess2021065132309-s0036-0000000447283466-0207-a_fast,157.098124365065,-51.7052632634314,3,59280.405234456,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,447061717,,tess2021065132309-s0036-0000000447061717-0207-a_fast,156.747889309047,-52.4694292630656,3,59280.4051667708,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,446456389,,tess2021065132309-s0036-0000000446456389-0207-a_fast,156.027915947999,-49.209066278128,3,59280.4054376273,20,59327,
