name rp rpe p pe mstar mstarep mstarem rstar rstarep rstarem
Kepler-22 	 1.806    0.029     289.8655 (19)       	  0.85  +0.05   -0.05  	  0.83  +0.01   -0.01  	  
K00092.01 	 3.00    0.13 	      65.70453 (17)       	  1.08  +0.11   -0.11  	  1.05  +0.03   -0.03  	  
Kepler-7 	 17.68    0.36 	   4.8854862 (12)    	  1.28  +0.07   -0.07  	  1.97  +0.04   -0.04  	  
Kepler-14 	 12.87    0.26 	   6.7901237 (20)   	  1.34  +0.08   -0.08  	  2.02  +0.04   -0.04  	  
Kepler-464 	 3.44    0.10  	   7.257038 (45)       	  1.2  +0.08   -0.08  	  1.6  +0.04   -0.04  	   
Kepler-467 	 2.26    0.09  	  24.99337 (21)        	  1.01  +0.07   -0.07  	  1.36  +0.04   -0.04  	   
Kepler-95 	 3.290    0.094 	  11.5230844 (97)      	  1.12  +0.08   -0.08  	  1.45  +0.04   -0.04  	   
Kepler-506 	 3.088    0.082 	   6.8834081 (26)     	  1.23  +0.1   -0.1  	  1.2  +0.03   -0.03  	   
Kepler-96 	 2.647    0.088 	  16.2384819 (93)      	  1.03  +0.1   -0.1  	  0.94  +0.03   -0.03  	   
K00268.01 	 3.043    0.076     110.38099648 (n/a) 	  1.2  +0.07   -0.07  	  1.36  +0.03   -0.03  	   
K00269.01 	 1.549    0.047 	  18.01181 (12)        	  1.33  +0.08   -0.08  	  1.45  +0.02   -0.02  	   
Kepler-454 	 2.38    0.094 	  10.573754 (12)    	  1.15  +0.11   -0.11  	  1.1  +0.03   -0.03  	   
Kepler-509 	 2.67    0.20  	  41.746009 (97)       	  1.05  +0.07   -0.07  	  1.19  +0.02   -0.02  	   
K00280.01 	 2.190    0.068 	  11.872877 (11)       	  1.03  +0.09   -0.09  	  1.04  +0.02   -0.02  	   
Kepler-510 	 2.350    0.077 	  19.556464 (62)      	  0.81  +0.11   -0.11  	  1.38  +0.04   -0.04  	   
K00288.01 	 3.208    0.055 	  10.275375 (31)       	  1.41  +0.08   -0.08  	  2.09  +0.03   -0.03  	   
K00319.01 	 10.36    0.25 	  46.15113 (37)     	  1.29  +0.06   -0.06  	  2.08  +0.04   -0.04  	   
K00367.01 	 4.72    0.15   	  31.578671 (12)       	  1.11  +0.09   -0.09  	  1.03  +0.03   -0.03  	   
Kepler-540 	 2.947    0.064     172.70681 (75)     	  0.88  +0.06   -0.06  	  1.15  +0.02   -0.02  	   
Kepler-643 	 11.29    0.78 	  16.338888 (59)   	      1.27  +0.22   -0.22  	  2.78  +0.19   -0.19  	   
K00974.01 	 2.601    0.060 	  53.50593 (20)        	  1.21  +0.08   -0.08  	  1.85  +0.04   -0.04  	   
Kepler-21 	 1.707    0.043 	   2.7858219 (84)      	  1.27  +0.08   -0.08  	  1.85  +0.03   -0.03  	   
Kepler-805 	 2.611    0.095 	  30.8633 (10)        	  1.08  +0.07   -0.07  	  1.59  +0.03   -0.03  	   
Kepler-432 	 14.7    2.1   	  52.5019 (11)         	  1.69  +0.6   -0.6  	  4.51  +0.63   -0.63  	   
Kepler-815 	 4.98    0.60  	   8.57522 (22)        	  1.69  +0.5   -0.5  	  3.88  +0.43   -0.43  	   
Kepler-407 	 1.141    0.041 	   0.6693127 (20) 	      1.02  +0.07   -0.07  	  1.02  +0.02   -0.02  	   
Kepler-408 	 0.689    0.017 	   2.465024 (17) 	      1.02  +0.07   -0.07  	  1.21  +0.02   -0.02  	   
Kepler-907 	 1.403    0.081 	  15.86631 (51) 	      0.99  +0.08   -0.08  	  1.34  +0.03   -0.03  	   
Kepler-910 	 0.828    0.049 	   2.364388 (32) 	      1.29  +0.09   -0.09  	  1.5  +0.03   -0.03  	   
Kepler-911 	 2.44    0.11  	  20.30895 (73)        	  1.22  +0.08   -0.08  	  1.93  +0.04   -0.04  	   
Kepler-997 	 1.304    0.072 	   2.707295 (36)          1.09  +0.18   -0.18  	  1.48  +0.07   -0.07  	   
Kepler-1002  1.609    0.046 	   4.336422 (31)      	  1.18  +0.07   -0.07  	  1.54  +0.02   -0.02  	   
Kepler-409 	 1.148    0.048 	  68.95825 (29)       	  0.95  +0.08   -0.08  	  0.9  +0.02   -0.02  	   
K01962.01 	 2.51    0.14   	  32.85861 (58)        	  1.04  +0.07   -0.07  	  1.5  +0.04   -0.04  	   
K01964.01 	 0.668    0.029 	   2.2293226 (85)      	  0.93  +0.11   -0.11  	  0.88  +0.03   -0.03  	   
Kepler-1219  3.42    0.37  	  16.1046 (12)         	  1.38  +0.5   -0.5  	  2.68  +0.25   -0.25  	   
K02462.01 	 1.491    0.083 	  12.14533 (70)           1.19  +0.1   -0.1  	  1.71  +0.04   -0.04  	   
Kepler-1274  1.441    0.071 	   6.98156 (21) 	       1.38  +0.07   -0.07  	  2.16  +0.04   -0.04  	   
Kepler-1298  1.588    0.089 	   7.12836 (47) 	       1.37  +0.17   -0.17  	  2.16  +0.07   -0.07  	   
K02706.01 	 1.797    0.082 	   3.097597 (22) 	       1.26  +0.18   -0.18  	  1.86  +0.08   -0.08  	   
Kepler-1392  0.684    0.052 	   2.128229 (24) 	      0.99  +0.15   -0.15  	  1.3  +0.06   -0.06  	   
K02801.01 	 0.870    0.061 	   6.99180 (16) 	    1.12  +0.17   -0.17  	  1.45  +0.06   -0.06  	   
Kepler-1394  1.04    0.11  	   3.93800 (32) 	    1.51  +0.21   -0.21  	  1.98  +0.08   -0.08  	   
K03168.01 	 0.988    0.076 	  56.382 (45)            1.03  +0.16   -0.16  	  1.55  +0.07   -0.07  	   
