ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
349273907,6.993,6217,1.273,33,262.473,50.528,215.404,39.827
349273907,6.993,6217,1.273,34,251.444,48.991,210.052,40.658
349273907,6.993,6217,1.273,35,279.200,61.857,227.393,52.183
349273907,6.993,6217,1.273,36,273.100,57.758,210.708,39.567
349275562,9.132,6006,1.127,27,743.099,291.194,618.781,128.190
349275562,9.132,6006,1.127,28,737.958,345.593,657.288,299.852
349275562,9.132,6006,1.127,29,817.533,447.541,626.700,168.095
349275562,9.132,6006,1.127,30,825.551,221.999,613.547,165.899
349275562,9.132,6006,1.127,31,725.049,329.197,661.453,297.003
349275562,9.132,6006,1.127,32,721.509,322.349,655.241,301.401
349275562,9.132,6006,1.127,33,720.759,302.599,691.132,229.369
349275562,9.132,6006,1.127,34,673.953,173.681,608.347,159.349
349275562,9.132,6006,1.127,35,1074.356,613.706,772.631,517.076
349374765,9.907,3360,0.281,27,1054.279,204.754,1020.339,190.413
349374765,9.907,3360,0.281,28,1073.495,201.389,1022.317,182.808
349374765,9.907,3360,0.281,29,1087.104,182.722,1046.715,193.740
349374765,9.907,3360,0.281,30,1020.979,185.750,956.777,185.739
349374765,9.907,3360,0.281,31,1061.980,194.602,992.371,174.854
349374765,9.907,3360,0.281,33,1028.569,189.092,961.501,183.370
349374765,9.907,3360,0.281,34,997.534,194.162,949.036,171.128
349374765,9.907,3360,0.281,35,1009.811,189.129,1006.340,195.621
349374765,9.907,3360,0.281,36,1036.691,197.873,957.348,175.717
349411267,8.050,4643,16.286,27,493.622,276.786,462.907,277.510
349411267,8.050,4643,16.286,28,503.277,337.097,461.249,321.090
349411267,8.050,4643,16.286,29,491.253,304.385,433.912,269.781
349411267,8.050,4643,16.286,30,501.855,333.966,462.335,319.795
349411267,8.050,4643,16.286,31,482.163,272.845,433.236,268.030
349411267,8.050,4643,16.286,32,482.910,292.430,457.643,288.321
349411267,8.050,4643,16.286,33,497.571,321.893,464.593,318.935
349411267,8.050,4643,16.286,34,508.591,333.715,460.030,325.546
349411267,8.050,4643,16.286,36,503.468,310.623,443.284,297.395
349480752,8.069,9815,5.130,27,417.522,111.285,357.852,90.964
349480752,8.069,9815,5.130,28,398.145,87.510,346.603,88.660
349480752,8.069,9815,5.130,29,406.056,105.856,340.538,65.037
349480752,8.069,9815,5.130,30,407.193,128.191,351.088,104.074
349480752,8.069,9815,5.130,31,391.089,87.458,343.015,73.941
349480752,8.069,9815,5.130,32,406.023,143.139,358.676,107.894
