ticids,tmags,slow_2min,slow_1hr,fast_2min,fast_1hr
41035485,8.4083004,701.3925199674942,329.8851300288089,529.6317132252027,349.36281302813836
41227743,10.71399975,1535.6051177365687,311.0623245918583,1445.472657141101,266.27958191345226
41256025,11.13700008,3157.3709645859394,522.3991283593099,3115.2864739818397,560.7283732107371
41259805,8.83920002,9650.001660633787,3800.395113703172,4424.509024144727,4462.891141902823
41464373,8.07460022,435.17795950358135,92.56755255965102,336.92712706000947,66.2176301332508
41488282,8.0163002,1021.026732481344,165.60533985373368,383.8057818191319,155.51607329059405
47316976,8.97173977,622.433944108737,133.6154076087755,576.4885401861799,117.17781153342747
47355413,15.79100037,67498.13844701168,12391.768615971003,67584.94912040756,12837.4449877288
47389790,8.0163002,1363.5487694466972,173.47026794710735,369.95549857839325,117.36038230788904
47424873,11.11219978,18639.04006649916,3888.2790573982293,4524.145380861472,3656.60847662482
48838982,8.01210022,1940.6930995346027,173.6470079042618,363.933952627901,109.91936341254126
48938394,12.42259979,4671.016142646066,789.7624985447267,4445.873901522935,720.0717049583216
48939546,16.08799934,138175.12176340356,82726.84848524757,137947.3401898911,76258.33407451453
50312495,9.8135004,911.31540407771,167.63784936101,841.096036124086,147.25981327276406
50379749,8.13329983,2361.864417433693,587.9254674743277,2380.249415181473,489.6179576345849
50385872,15.01229954,31213.248503242863,5712.588895146617,31210.364209052852,5466.81155009824
50386332,8.53680038,490.8068610179492,89.5187882987365,435.40385407539554,85.21824985786327
50491108,8.42029953,461.64476808746247,87.39790881288293,409.7139708141774,75.61649597130003
52075621,8.98659992,662.6864693506664,127.51787908694646,559.11944704081,102.16193559045713
52120817,8.2191,717.5642260471277,327.5875105858008,503.97339344450234,352.05361398062246
52122434,8.15690041,1290.5551671419032,247.70104995198267,450.7734975695779,244.77823341720654
52204645,10.85449982,1635.5957484967075,311.7692844204762,1519.2168815231894,268.5152766109185
52315037,15.13389969,28694.748298781025,5485.875715106727,29082.962206088883,5921.837771266685
52368076,10.19849968,1107.8944214227636,228.70150455787768,1028.5790472405863,218.13679170443302
53783180,8.07913971,447.770681450837,117.62044148629643,374.0452013866845,117.7935028442061
53939120,8.15466022,766.9630440718007,364.526161631084,657.3760968796374,392.26907921960554
53976522,8.0291996,1263.7790636330017,292.94647898352565,434.97771493905793,262.8523341649489
53992917,8.12660027,424.88285699933374,83.59799973406193,348.24742932379115,75.63730630289025
53994275,8.05189991,1470.6973684715915,120.53665077934511,354.077708118036,92.01916355311522
55269690,11.10879993,24522.669055182014,6452.510725773784,6877.758463641335,6812.482308842958
55366779,8.28390026,859.486411642163,317.95518292088246,526.9950414639749,337.66135078951777
55383975,11.25949955,1872.9575109551538,330.68045983600393,1957.819766789845,370.02939483991935
55401680,8.0,809.0271538745634,264.2262359459251,429.19297111149746,277.92137548049885
