ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
19064309,8.092,4679,12.008,34,1166.621,1004.198,1004.198,942.878
19117868,8.170,4139,41.259,34,1233.064,1034.553,1034.553,931.499
19341385,8.030,4316,33.783,34,1210.264,1044.335,1044.335,1022.542
19436296,8.103,4427,32.305,35,1312.484,985.506,985.506,928.491
19513176,8.165,0,0.000,34,1680.453,1638.517,1638.517,929.835
19684256,13.176,5790,1.022,35,16274.498,16065.692,16065.692,16057.010
19911846,8.089,5033,10.084,35,1306.386,1013.376,1013.376,955.725
19946620,8.033,4207,24.057,34,1039.553,877.808,877.808,855.808
19976193,7.832,3864,0.621,35,1309.525,1189.064,1189.064,1104.155
20061482,15.420,0,0.000,32,101036.665,100936.246,100936.246,100936.246
20061482,15.420,0,0.000,33,103360.072,103304.101,103304.101,103280.447
20090407,8.174,4781,12.048,35,1254.744,1078.736,1078.736,970.594
20096356,8.854,5458,0.955,32,7043.374,7563.931,7563.931,7564.233
20096356,8.854,5458,0.955,33,4053.007,4192.361,4192.361,4187.582
20143614,14.788,0,0.000,32,54834.884,54810.871,54810.871,54810.871
20143614,14.788,0,0.000,33,54807.941,54668.662,54668.662,54668.662
20179778,8.018,3698,56.911,33,912.378,828.237,828.237,827.011
20299658,12.702,0,0.000,32,10834.089,10769.589,10769.589,10769.589
20299658,12.702,0,0.000,33,10699.738,10611.880,10611.880,10610.047
20318757,10.210,4272,0.680,36,2794.532,2643.883,2643.883,2639.037
20325431,8.344,3544,0.454,36,1310.195,1046.356,1046.356,1015.371
20448010,12.865,23430,0.285,36,15389.710,15247.106,15247.106,15247.106
20488899,8.084,6164,6.881,36,939.689,864.836,864.836,848.304
20498843,8.008,4664,10.865,36,1114.556,957.877,957.877,925.110
20500188,8.043,3900,53.407,36,1244.826,1046.646,1046.646,1015.724
20501510,11.136,0,0.000,36,9540.351,9030.735,9030.735,8980.521
20881066,8.211,4703,10.737,29,1312.799,1002.429,1002.429,969.158
20892891,11.514,3516,0.490,29,7638.157,7332.861,7332.861,6633.351
20897989,8.500,4777,9.743,29,1570.307,1204.906,1204.906,1157.094
20924617,8.035,6733,2.752,29,1026.768,867.677,867.677,835.219
20925762,8.022,4981,10.959,30,1239.200,968.067,968.067,897.969
21184505,8.800,6146,1.356,34,1682.544,1412.221,1412.221,1341.070
21221785,11.909,3511,0.410,34,9266.890,9009.672,9009.672,8945.867
21438038,8.057,4737,11.002,32,1011.245,904.851,904.851,886.802
21540586,10.326,5417,1.183,32,2971.155,2908.473,2908.473,2907.145
21540586,10.326,5417,1.183,33,3371.437,3294.671,3294.671,3292.846
21618270,8.007,4746,11.582,32,1004.393,910.415,910.415,907.371
21618270,8.007,4746,11.582,33,985.585,894.512,894.512,886.393
21813917,11.977,0,0.000,35,14057.118,13575.685,13575.685,13519.387
21891703,8.058,6574,1.695,35,1222.838,916.377,916.377,855.151
21894942,16.904,0,0.000,35,505546.847,505709.376,505709.376,505709.376
22014729,15.757,0,0.000,35,168647.260,168314.078,168314.078,168314.078
22016715,16.490,0,0.000,35,298722.924,299145.906,299145.906,299145.906
22222900,8.194,7968,1.843,35,2823.030,2731.691,2731.691,2705.894
22233733,8.021,9452,1.926,35,1144.416,919.951,919.951,844.552
22288945,8.351,4610,15.044,36,1229.348,1063.007,1063.007,1049.614
22529346,10.056,6776,1.523,33,4652.847,4602.038,4602.038,4599.542
22529346,10.056,6776,1.523,34,4552.423,4517.035,4517.035,4515.335
22600633,5.286,9517,4.397,33,275.608,262.368,262.368,224.290
22600633,5.286,9517,4.397,34,227.768,213.033,213.033,211.979
22641187,15.630,0,0.000,33,372866.299,373721.306,373721.306,373721.306
22641187,15.630,0,0.000,34,316604.294,317659.738,317659.738,317659.738
23026869,8.029,9364,2.342,33,1019.040,946.553,946.553,940.510
23026869,8.029,9364,2.342,34,1002.941,928.342,928.342,923.768
23031858,8.024,0,0.000,33,1434.915,1368.076,1368.076,1366.122
23031858,8.024,0,0.000,34,1433.973,1380.718,1380.718,1378.149
23126920,12.524,3216,0.331,31,14042.709,13985.992,13985.992,13962.978
23186105,8.315,4964,2.352,36,1117.112,971.321,971.321,957.394
23188170,8.046,6474,3.322,36,951.821,833.943,833.943,828.139
23219822,8.174,3734,57.836,31,1206.982,1025.474,1025.474,976.409
23226265,13.814,0,0.000,36,50252.379,50132.557,50132.557,50132.557
23226268,12.052,0,0.000,36,14849.250,14653.164,14653.164,14643.110
23270430,5.940,5847,1.142,36,355.361,316.452,316.452,311.701
23325655,9.191,0,0.000,36,3384.368,3324.280,3324.280,3310.586
23328912,8.758,8690,2.051,36,1641.397,1507.361,1507.361,1504.130
23369524,9.030,3532,0.371,33,2866.316,2750.337,2750.337,2717.683
23434737,7.999,5742,1.173,36,939.213,815.701,815.701,809.005
23498749,8.036,4473,15.050,36,1019.170,916.596,916.596,903.921
23582373,6.355,6199,1.364,36,409.968,373.223,373.223,369.254
23612266,8.217,9160,2.169,36,1028.950,901.687,901.687,894.128
23733602,8.207,4230,30.387,33,1200.820,1073.205,1073.205,1045.789
24225890,9.712,7492,2.169,30,2909.443,2202.893,2202.893,2118.171
24250134,8.333,6319,2.117,30,1357.406,1047.839,1047.839,992.220
24252344,14.137,0,0.000,30,73427.166,73385.796,73385.796,73289.803
24358417,11.702,5523,1.117,32,6123.165,6064.110,6064.110,6058.191
24360361,8.102,5623,2.186,32,915.894,846.274,846.274,844.056
24398462,8.088,4811,10.733,32,1069.994,1019.786,1019.786,1016.644
24405903,8.025,5061,10.295,32,993.145,898.241,898.241,875.988
24435416,12.213,3156,0.518,35,9978.751,9650.186,9650.186,9585.976
24436680,8.108,4900,18.110,35,1281.364,1005.717,1005.717,936.237
24437956,10.746,3777,0.614,35,4743.636,3919.321,3919.321,3829.864
24440555,8.193,6681,1.871,35,1335.241,1015.271,1015.271,932.548
24441509,15.062,0,0.000,35,85618.409,85447.243,85447.243,85447.243
24450633,13.717,0,0.000,32,150778.841,152168.766,152168.766,152180.668
24450633,13.717,0,0.000,33,104552.664,104467.971,104467.971,104408.460
24451876,8.035,4206,30.677,32,910.262,844.213,844.213,836.320
24451876,8.035,4206,30.677,33,923.510,840.237,840.237,834.316
