ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
7647775,11.020,3362,0.497,32,3526.096,2243.276,3271.455,2252.725
7649668,8.071,4572,12.297,31,547.898,336.354,490.796,325.902
7649668,8.071,4572,12.297,32,492.232,271.472,451.558,271.035
7722646,8.005,5228,3.060,31,395.224,91.749,344.734,83.270
7722646,8.005,5228,3.060,32,384.576,97.760,356.554,90.228
7723060,11.221,3199,0.220,31,2547.013,1393.868,2481.787,1396.103
7723060,11.221,3199,0.220,32,2594.678,1371.791,2604.471,1376.945
7780491,8.042,8006,2.402,31,1150.434,1209.909,1146.317,1220.206
7843830,12.458,3334,0.396,34,6480.963,2968.560,6542.474,3159.004
7890779,8.036,3962,50.005,34,434.846,97.342,522.536,181.164
7975441,14.381,0,0.000,34,35249.889,12291.418,36287.371,12243.680
7985934,8.055,4508,9.148,35,516.428,311.994,478.526,314.423
8112435,8.279,4920,9.977,27,656.832,422.197,608.436,423.217
8194633,8.020,4809,3.319,27,441.018,121.640,391.351,115.591
9006668,9.927,5029,0.766,29,1035.688,231.173,968.134,205.544
9056576,9.168,4822,12.988,29,780.860,324.373,694.252,314.664
9058053,8.089,4570,16.545,29,588.822,357.868,513.228,336.660
9097661,8.062,6585,1.822,29,422.607,85.023,371.059,104.084
9149953,8.305,6394,2.898,32,451.972,96.189,428.013,106.490
9150015,4.905,6221,1.225,32,437.295,465.745,387.255,426.575
9166565,8.081,5006,10.164,29,618.200,331.732,499.769,331.590
9176012,9.951,9079,1.758,32,1867.203,324.453,1841.244,368.200
9179390,8.094,4758,9.871,29,591.045,336.175,494.406,324.573
9210746,8.728,3406,0.555,29,1697.701,1160.372,1623.546,1107.587
9266461,15.759,0,0.000,32,59595.395,10306.918,484901.696,85877.620
9268360,14.145,50000,0.147,32,18842.656,3614.627,18957.015,3530.606
9295107,8.038,5104,9.560,32,451.736,194.427,396.907,188.378
9354932,13.000,0,0.000,32,11370.377,2418.214,11439.768,2672.264
9358354,14.286,31000,0.180,32,19252.270,3984.058,19681.996,4824.379
9380488,8.258,7572,1.654,32,445.378,108.107,409.415,108.099
9708387,8.106,5841,1.397,29,806.629,746.900,708.660,636.959
9709881,9.736,5372,5.357,29,879.568,218.759,838.018,204.348
9761274,11.074,7526,1.210,29,3489.530,1279.672,3430.180,1266.118
9786384,8.465,4865,15.708,29,564.716,273.123,540.100,306.613
9791889,8.127,7017,1.826,29,660.593,494.210,614.531,487.871
9803255,9.899,7795,1.764,29,1587.510,367.303,1551.309,373.474
9805120,11.327,7358,1.602,31,6391.939,6261.912,6450.587,6265.915
9887662,4.575,7572,1.995,31,104.978,37.422,92.690,30.046
9899585,8.042,4939,10.537,31,523.317,352.611,502.695,360.241
9899967,5.765,0,0.000,31,2831.070,944.403,3668.232,1573.066
9945024,13.443,3156,0.335,31,13222.500,6368.986,12957.658,6083.649
9964140,9.243,3550,0.475,31,765.063,179.559,1421.109,504.016
9965534,8.085,5182,12.591,31,433.525,158.616,400.759,165.416
9967272,8.078,6781,2.035,31,391.033,86.911,363.703,93.256
10066435,8.121,6552,1.530,33,414.313,145.971,388.028,149.394
10785357,8.168,6621,2.436,30,484.304,119.867,402.943,107.786
10821149,8.059,3724,56.450,30,599.540,274.064,463.664,261.543
10838265,5.998,7558,1.964,30,3208.681,1214.534,3205.461,1232.439
10838592,8.028,4229,31.075,30,637.131,220.315,410.714,165.767
10863087,10.391,3296,0.405,30,13702.367,12209.518,13804.467,12126.320
10863225,10.264,3426,0.302,30,1252.335,239.483,1215.079,234.242
10932094,8.580,4814,10.020,31,709.355,427.791,640.124,408.319
10936296,8.000,7986,3.009,31,1112.673,1007.058,1104.548,1012.613
10938216,15.358,0,0.000,31,28805.267,5175.915,28989.686,6207.405
10958867,10.575,7496,1.979,31,2841.219,1133.248,2843.296,1167.181
10996609,8.901,4951,10.271,31,641.731,227.775,606.131,219.709
11046349,9.422,5410,1.119,31,1377.991,1226.892,1404.591,1220.839
11049041,8.373,4987,10.148,32,505.621,230.980,500.154,222.752
11053001,8.055,8279,1.580,32,884.302,129.048,863.087,104.987
11201507,8.017,6219,8.283,32,447.553,210.343,415.377,211.853
11289814,8.076,6608,2.079,32,415.180,121.762,376.406,119.274
