ticids,tmags,slow_2min,slow_30min,fast_2min,fast_30min
32036692,8.16180038,604.008803575384,305.229906005761,451.87112681995563,300.03582011937874
32068755,14.8920002,32834.57250019935,8093.8947078673,23063.40817975914,5992.231684456225
32072326,8.8465004,744.7379944596267,462.66102284110065,650.0616985595891,441.3028797977076
32090583,13.32919979,11213.178211686452,2953.94327390115,8859.675656132722,2581.472728848867
33716446,16.27300072,111604.92030458707,29356.241773420898,95451.1981141965,23843.92276957568
33834484,14.11299992,15049.584091659846,4721.696325360109,15222.775869238094,4843.5748679367325
33836359,8.08230019,2391.2032503213336,2206.1123301913203,2401.690408156521,1972.0003726608907
33840009,15.75409985,62945.58226064839,16358.87369426012,58901.167276766726,16205.664853173988
33864387,11.40019989,18813.791699135643,833.5498229297453,2614.1829781613505,1148.7666859763026
33866571,8.38560009,728.3453634335501,504.28328275097715,635.2380690945739,480.41173520418283
33878688,11.17619991,1937.776890241554,510.7342911871151,1794.7896345625948,465.1472012393379
34520844,14.60599995,27159.7617708945,6475.486920203864,26633.63625088264,6589.917614728926
34721929,8.01609993,470.3933959666085,220.17380162517475,391.33287698796454,206.44749577581428
38460940,13.10179996,6063.064230183921,1567.5066800029497,6881.449370177337,1869.2224384868136
38469560,8.04669952,439.6848284110202,168.7424740932254,364.98573192954035,160.89859017956763
38509907,11.97550011,2792.8448029548554,678.3279555588365,5903.767791893544,1520.0391240125216
38515329,8.01739979,566.9817825515236,327.32240065006914,458.0989236417014,338.315554338424
38571020,10.18050003,1119.82436853069,273.9027486001321,1063.4803416907862,285.60002031571037
38583513,14.25479984,19180.350370274,5420.967965841749,16660.39038181661,4507.3380988522285
38586127,9.78789997,864.6118703996426,224.50393057545912,792.5399684644867,192.62645147760028
38586438,11.67039967,7451.886813503706,2792.314583083392,4104.242962040169,2858.5267686159946
38632722,8.18519974,730.554612897981,442.91033262908917,590.1235979663612,466.73087214056795
38633493,8.02530003,972.2465043067118,208.59733443155727,378.04088043585483,185.45073778975888
38696105,10.50409985,1238.416879781336,315.56919349929717,1237.5041830289601,345.3608219896157
38736839,8.09049988,1047.3609860973593,401.0671477727696,512.9154145850993,402.64319878781265
38811498,8.02299976,386.2651763610832,107.67881889635778,326.52262170685464,84.60880472299613
38823638,8.08920002,647.2217230996507,402.17177250498503,523.6435594916054,412.2461976153412
38827910,9.7510004,8331.742505207922,774.2093823151338,1212.3208667125105,939.599116778539
38833347,8.40740013,1385.3761541552735,302.578806648444,417.2544206084505,122.31439825772883
38846515,10.31569958,1313.8848414862925,429.1688009603295,1320.5869961551148,413.97062374717177
