ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
12474920,11.488,3509,0.454,29,2445.731,2445.731,2445.731,2445.731
12511303,10.528,7768,2.733,31,5263.307,5263.307,5263.307,5262.393
12532010,8.233,4981,10.502,31,586.287,586.287,586.287,582.886
12549312,13.451,37400,0.160,31,8667.875,8667.875,8667.875,8624.098
12723842,8.011,4005,43.150,28,512.832,512.832,512.832,509.739
12862728,8.863,0,0.000,29,1339.151,1339.151,1339.151,1324.974
12865353,8.016,4890,2.391,29,445.981,445.981,445.981,442.182
12878505,8.118,4908,10.849,29,556.265,556.265,556.265,548.279
12968953,10.094,7883,2.424,29,1086.849,1086.849,1086.849,1084.648
12969617,8.094,4712,10.054,29,584.046,584.046,584.046,579.343
12972937,8.338,6383,1.564,29,501.869,501.869,501.869,497.321
13021029,11.723,6245,1.433,32,2995.574,2995.574,2995.574,2978.847
13069774,11.931,34000,0.143,32,3569.060,3569.060,3569.060,3563.167
13072717,14.318,0,0.000,32,16028.024,16028.024,16028.024,16014.563
13072758,12.224,6313,1.431,32,3779.705,3779.705,3779.705,3779.705
13074467,8.396,4918,9.816,29,642.520,642.520,642.520,637.561
13133610,16.226,0,0.000,32,86444.616,86444.616,86444.616,85449.591
13203779,8.036,5129,9.597,32,430.531,430.531,430.531,426.751
13205578,8.143,4585,8.817,32,521.117,521.117,521.117,520.207
13273388,8.077,4509,12.976,32,545.760,545.760,545.760,545.064
13344668,12.673,4469,0.700,32,5237.713,5237.713,5237.713,5227.915
13349647,12.212,5928,0.960,34,4440.740,4440.740,4440.740,4434.820
13390495,8.014,4813,10.625,34,553.774,553.774,553.774,551.116
13741812,8.051,4019,45.402,34,783.624,783.624,783.624,779.908
13818381,8.001,8233,1.872,34,394.925,394.925,394.925,391.628
13934072,8.132,4972,9.485,31,474.860,474.860,474.860,473.875
13934072,8.132,4972,9.485,32,459.293,459.293,459.293,456.970
13955147,8.738,5701,1.006,31,1007.877,1007.877,1007.877,982.379
13955147,8.738,5701,1.006,32,896.546,896.546,896.546,890.919
14001734,11.739,3304,0.439,32,12047.449,12047.449,12047.449,12036.894
14126873,10.647,7462,1.781,31,3264.335,3264.335,3264.335,3262.958
14161523,8.339,4593,17.024,32,549.587,549.587,549.587,547.217
14164720,8.074,4828,10.450,32,627.660,627.660,627.660,621.381
14164720,8.074,4828,10.450,31,635.325,635.325,635.325,633.568
14164726,14.935,31000,0.180,32,25917.018,25917.018,25917.018,25917.018
14342679,8.316,4754,6.029,35,543.383,543.383,543.383,539.526
14344979,12.335,5425,0.916,35,4781.522,4781.522,4781.522,4781.522
14564874,8.014,4131,28.953,33,460.088,460.088,460.088,458.883
14609933,8.257,9036,1.942,33,438.622,438.622,438.622,437.911
14614418,13.390,5670,1.017,36,9081.656,9081.656,9081.656,9081.656
14661418,12.481,4724,0.793,36,4588.745,4588.745,4588.745,4574.832
14680532,12.805,31000,0.180,36,5647.805,5647.805,5647.805,5647.805
14715718,14.339,2841,0.140,36,19085.124,19085.124,19085.124,18835.887
14717912,14.307,41381,0.147,36,18664.220,18664.220,18664.220,18664.220
16325702,8.459,5718,1.130,34,486.835,486.835,486.835,485.342
16489072,8.155,4006,38.490,34,497.756,497.756,497.756,492.235
17676722,8.611,8321,1.842,34,2508.088,2508.088,2508.088,2507.616
17684976,8.011,9745,3.508,35,397.305,397.305,397.305,394.774
17746821,11.316,6322,1.730,34,2357.841,2357.841,2357.841,2357.841
17817705,8.179,4869,10.920,34,504.718,504.718,504.718,503.502
17863112,8.296,4616,17.690,34,579.532,579.532,579.532,577.124
17897279,15.653,0,0.000,35,93249.373,93249.373,93249.373,93110.293
18786687,8.038,4242,42.969,35,486.831,486.831,486.831,484.698
18930259,8.169,4948,10.891,35,588.910,588.910,588.910,586.936
18934976,10.968,3351,0.344,34,1854.651,1854.651,1854.651,1848.530
18998800,10.483,3482,0.425,34,1445.947,1445.947,1445.947,1439.327
19064309,8.092,4679,12.008,34,561.891,561.891,561.891,557.868
19117868,8.170,4139,41.259,34,452.681,452.681,452.681,449.123
19341385,8.030,4316,33.783,34,498.357,498.357,498.357,481.733
19436296,8.103,4427,32.305,35,650.604,650.604,650.604,650.675
19513176,8.165,0,0.000,34,1365.948,1365.948,1365.948,1182.819
19684256,13.176,5790,1.022,35,7947.250,7947.250,7947.250,7927.426
19911846,8.089,5033,10.084,35,565.738,565.738,565.738,563.878
19946620,8.033,4207,24.057,34,489.220,489.220,489.220,478.275
