ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
9295107,8.038,5104,9.560,32,432.141,401.068,401.068,394.846
9354932,13.000,0,0.000,32,11438.345,11518.802,11518.802,11518.802
9358354,14.286,31000,0.180,32,19681.897,19842.770,19842.770,19842.770
9380488,8.258,7572,1.654,32,475.105,417.260,417.260,406.327
9708387,8.106,5841,1.397,29,773.088,718.973,718.973,707.305
9709881,9.736,5372,5.357,29,993.717,893.325,893.325,830.629
9761274,11.074,7526,1.210,29,3518.932,3438.092,3438.092,3418.734
9786384,8.465,4865,15.708,29,627.112,563.401,563.401,538.779
9791889,8.127,7017,1.826,29,662.069,631.002,631.002,614.218
9803255,9.899,7795,1.764,29,1645.115,1580.017,1580.017,1546.481
9805120,11.327,7358,1.602,31,6485.789,6444.168,6444.168,6438.213
9887662,4.575,7572,1.995,31,100.238,95.039,95.039,94.509
9899585,8.042,4939,10.537,31,535.264,501.902,501.902,498.757
9899967,5.765,0,0.000,31,3867.111,3839.933,3839.933,3659.261
9945024,13.443,3156,0.335,31,13036.455,13120.054,13120.054,13042.961
9964140,9.243,3550,0.475,31,1496.338,1444.731,1444.731,1405.411
9965534,8.085,5182,12.591,31,454.534,402.406,402.406,393.330
9967272,8.078,6781,2.035,31,403.388,367.313,367.313,358.850
10066435,8.121,6552,1.530,33,450.693,402.115,402.115,386.054
10785357,8.168,6621,2.436,30,542.851,410.401,410.401,392.161
10821149,8.059,3724,56.450,30,549.797,459.603,459.603,444.370
10838265,5.998,7558,1.964,30,3206.640,3205.926,3205.926,3205.257
10838592,8.028,4229,31.075,30,510.332,419.398,419.398,402.455
10863087,10.391,3296,0.405,30,13830.155,13795.778,13795.778,13780.991
10863225,10.264,3426,0.302,30,1539.439,1184.610,1184.610,1160.702
10932094,8.580,4814,10.020,31,712.654,633.664,633.664,627.385
10936296,8.000,7986,3.009,31,1133.756,1107.668,1107.668,1100.980
10938216,15.358,0,0.000,31,28987.106,29318.495,29318.495,29318.495
10958867,10.575,7496,1.979,31,2878.622,2826.644,2826.644,2824.081
10996609,8.901,4951,10.271,31,706.357,604.107,604.107,593.197
11046349,9.422,5410,1.119,31,1486.006,1404.524,1404.524,1389.143
11049041,8.373,4987,10.148,32,593.658,518.734,518.734,497.426
11053001,8.055,8279,1.580,32,902.777,868.674,868.674,862.591
11201507,8.017,6219,8.283,32,475.316,431.331,431.331,412.883
11289814,8.076,6608,2.079,32,446.642,398.352,398.352,373.859
11310083,4.413,6128,1.248,35,151.570,152.333,152.333,146.350
11488935,8.204,4544,20.503,30,491.069,453.191,453.191,450.412
11521555,9.098,6294,3.096,35,839.894,701.823,701.823,674.371
11521786,8.005,4634,18.380,35,521.043,447.879,447.879,436.685
11528274,8.753,4405,22.967,30,1209.161,1162.691,1162.691,1155.476
11529003,8.352,3772,59.824,30,469.466,430.271,430.271,427.767
11555687,9.799,5553,3.553,30,879.748,828.676,828.676,825.588
11569869,8.156,7143,2.797,30,441.428,405.422,405.422,402.211
11614297,10.658,3383,0.332,30,1523.176,1490.239,1490.239,1483.222
11614485,11.624,3309,0.366,30,7984.586,7978.288,7978.288,7976.688
11645994,14.739,0,0.000,30,21176.519,21425.372,21425.372,21425.372
11649826,8.353,0,0.000,30,391.530,363.042,363.042,357.937
11974826,11.005,3094,0.221,35,4686.533,4595.631,4595.631,4583.185
11974826,11.005,3094,0.221,36,5732.547,5718.225,5718.225,5717.016
12013892,8.095,4479,20.383,35,566.999,476.923,476.923,446.204
12359032,11.588,5471,0.901,29,2769.079,2731.023,2731.023,2727.393
12378718,14.079,40975,0.131,29,14596.550,14716.327,14716.327,14716.327
12393800,10.740,5571,1.313,29,6215.032,6197.496,6197.496,6197.429
12395214,14.126,37500,0.127,29,16330.129,16528.280,16528.280,16528.280
12395634,8.064,6275,2.197,29,431.017,366.454,366.454,356.451
12421477,11.701,3461,0.582,29,7421.967,7361.598,7361.598,7351.293
12421862,9.928,3782,0.447,29,1128.615,1039.587,1039.587,1023.441
12423805,12.722,38000,0.658,29,5777.470,5819.878,5819.878,5819.878
12433577,8.159,4780,8.143,29,568.120,521.321,521.321,511.076
12473170,8.748,6966,2.582,29,2123.562,2106.810,2106.810,2104.757
12474920,11.488,3509,0.454,29,2481.920,2486.592,2486.592,2484.733
12511303,10.528,7768,2.733,31,5248.807,5235.764,5235.764,5234.578
12532010,8.233,4981,10.502,31,708.832,666.127,666.127,547.038
12549312,13.451,37400,0.160,31,8406.403,8523.491,8523.491,8523.491
12723842,8.011,4005,43.150,28,516.542,447.983,447.983,423.177
12862728,8.863,0,0.000,29,1456.140,1194.140,1194.140,1168.047
12865353,8.016,4890,2.391,29,485.879,407.341,407.341,381.564
12878505,8.118,4908,10.849,29,593.203,523.697,523.697,503.062
12968953,10.094,7883,2.424,29,1245.236,1060.166,1060.166,1033.159
12969617,8.094,4712,10.054,29,616.569,551.853,551.853,537.971
12972937,8.338,6383,1.564,29,580.993,456.713,456.713,424.865
13021029,11.723,6245,1.433,32,2920.780,2936.835,2936.835,2936.436
13069774,11.931,34000,0.143,32,3627.939,3663.117,3663.117,3663.117
13072717,14.318,0,0.000,32,16077.805,16248.779,16248.779,16248.779
13072758,12.224,6313,1.431,32,3777.770,3828.905,3828.905,3828.905
13074467,8.396,4918,9.816,29,770.916,690.022,690.022,680.467
13133610,16.226,0,0.000,32,86201.444,87246.440,87246.440,87246.440
13203779,8.036,5129,9.597,32,407.834,390.716,390.716,389.355
