time,time2,flux,flux_err
2036.3940292814411,2036.3940292814411,1434145.4077421746,124.4796160208068
2036.3954181652696,2036.3954181652696,1433383.4227503033,124.44749379130742
2036.396807049098,2036.396807049098,1433819.087438811,124.46514085904735
2036.398195932927,2036.398195932927,1433196.0305667247,124.43090766063712
2036.3995848166394,2036.3995848166394,1434570.6270778477,124.49498766265653
2036.4009737004678,2036.4009737004678,1433977.714494736,124.46605100011207
2036.4023625842963,2036.4023625842963,1433674.4400637813,124.45501116743954
2036.4037514681252,2036.4037514681252,1433453.3106085046,124.45528580202007
2036.4051403519536,2036.4051403519536,1433840.1028796895,124.45946409624702
2036.406529235782,2036.406529235782,1434044.020114444,124.46599607799513
2036.4079181194945,2036.4079181194945,1434039.4251969573,124.47366924750591
