t,rv,rv_err,inst_id
2458447.75446098,11020.9169753915,0.245626224096032,2
2458448.85859103,11020.858821026466,0.30739968456138467,2
2458449.86302361,11025.406240047867,0.3092382378602317,2
2458450.86625288,11021.625392151629,0.294029608831332,2
2458451.645712,10984.96,2.48,5
2458455.76989438,11009.888191935433,0.32238739391742266,2
2458459.6427985,10914.086666666668,0.36333333333333334,7
2458463.779137,10908.608333333334,0.245,7
2458466.670645,10905.735,0.2383333333333333,7
2458467.76894279,10994.229437453367,0.31767725059788066,2
2458468.609599,10962.08,2.89,5
2458470.710374,10900.536666666667,0.27166666666666667,7
2458473.74335635,10985.85959431626,0.25960903977461197,2
2458484.735229525,10969.9774503217,0.2979697762461755,2
2458486.6907795947,10968.16134898905,0.4087486823658925,2
2458487.681246265,10968.6597622305,0.26589306832466153,2
2458488.655623,10878.455,0.48500000000000004,7
2458488.6927666804,10966.64311841975,0.3445470363752435,2
2458489.7063303646,10964.785726082,0.464990749925576,2
2458489.77182,10876.328333333333,0.43166666666666664,7
2458490.7367348447,10958.803217732751,0.4225762351368575,2
2458491.67739968,10962.32902713685,0.3401746863739275,2
2458493.615334,10933.41,3.04,5
2458493.65343,10871.423333333334,0.23,7
2458501.628129885,10950.1126028459,0.38231367011068973,2
2458504.5917712897,10945.0562101178,0.264502241278748,2
2458505.59214685,10945.55053671075,0.26551625318775895,2
2458507.581816805,10942.524736765601,0.25056368771266047,2
2458508.58690997,10941.5915143783,0.38689343690483535,2
2458512.59205,10850.13,0.36333333333333334,7
2458516.589699035,10934.21806812605,0.254069587781595,2
2458517.5901020253,10931.44698089755,0.3383895155742525,2
2458518.56528504,10931.5549033055,0.387551089803346,2
2458519.58223408,10929.42588447125,0.401148535586409,2
2458520.5940271104,10926.8719688999,0.447685130962419,2
2458521.6206123848,10927.8141253051,0.3426394284505535,2
2458522.5763287097,10925.0590195476,0.3778705454525365,2
2458524.57844087,10925.4179794216,0.33046671746138645,2
2458528.57975189,10918.987056251899,0.41946074445616954,2
2458530.6441313047,10920.911035359251,0.29897546243862505,2
2458531.532603345,10917.6739223051,0.24632197260655803,2
2458532.637459,10825.935,0.2733333333333334,7
2458533.5777365,10826.036666666669,0.2908333333333334,7
2458535.571873655,10911.531217197851,0.3296858967767265,2
2458536.5619805,10824.138333333334,0.22250000000000003,7
2458537.570931065,10910.4762367345,0.3038120513039425,2
2458538.6137695,10821.495,0.51,7
2458539.5556465,10821.601666666667,0.25666666666666665,7
2458541.5653388053,10905.3148058323,0.2956341986295635,2
2458541.5792075,10817.724166666667,0.26833333333333337,7
2458542.524283,10819.728333333334,0.30333333333333334,7
2458542.595645,10880.05,2.86,5
2458543.55533591,10904.962072646202,0.252716641012375,2
2458543.56921,10817.659999999998,0.3175,7
2458544.5572665,10817.175000000001,0.39166666666666666,7
2458545.5627299203,10902.26514547235,0.292255129843928,2
2458546.541715965,10900.1226882147,0.340782356407832,2
2458548.5379706053,10901.12903702025,0.33072676518039645,2
2458550.557432345,10899.300534719101,0.309650905118397,2
2458553.5996904196,10896.533386360948,0.391058544966405,2
2458555.5382105,10807.535833333333,0.3416666666666666,7
2458556.51902984,10895.5748567056,0.268678463130986,2
2458557.515905275,10893.012713599801,0.4555855068954055,2
2458558.52188979,10892.7790719848,0.431393141398621,2
2458561.506228,10803.888333333334,0.25166666666666665,7
2458562.493348,10802.158333333333,0.35333333333333333,7
2458566.49437222,10887.905284394401,0.32073379345182795,2
2458568.501124,10798.646666666667,0.8633333333333333,7
2458570.481221655,10884.93713779645,0.4142511827702115,2
2458586.47131501,10868.82166722265,0.46386882082745595,2
2458588.47339164,10866.573200832401,0.419244565627636,2
2458590.47338431,10866.9592202278,0.330599979437293,2
2458591.47180919,10865.697332125834,0.402356930810992,2
2458601.453733295,10855.93941200285,0.284657429024334,2
2458608.472456845,10850.9083752138,0.3045207549407825,2
2458609.47082582,10850.07795850645,0.346662301606685,2
2458626.46240015,10839.65338409465,0.5306407619045175,2
2458745.901076,10748.87,4.26,5
2458756.891195,10752.36,3.15,5
2458767.82786919,10776.1288829626,0.342721145922059,2
2458767.8335519303,10775.553372005252,0.3314557894489635,2
2458802.772857,10734.78,3.82,5
2458844.690365,10724.36,3.23,5
2458855.703833,10715.16,4.42,5
2458856.78126976,10750.861514033333,0.5664514832622486,2
2458857.66295307,10750.850371689832,0.31552578168071227,2
2458891.543187,10707.57,2.94,5
2458892.58859977,10740.57247629,0.26904433246169135,2
2458919.53251833,10738.901645738299,0.29193928449556467,2
2458920.53243762,10736.219734125401,0.285329785381995,2
